R_RESET,20.53,85.70,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SCK,2.05,22.90,0.00,TPTP20R,TP20R
SENSOR2,156.85,-11.10,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,50.36,-12.00,0.00,,SJ
TPGND,94.97,-20.90,0.00,TPTP20R,TP20R
TX,104.01,-21.30,0.00,TPTP20R,TP20R
U1,36.23,35.96,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.20,35.04,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,81.99,33.40,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,133.30,28.10,0.00,MAX17048G+T10,SON50P200X200X80-9N
VBAT,146.95,36.60,0.00,TPTP20R,TP20R
VBUS,146.83,41.12,0.00,TPTP20R,TP20R
